device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity
467692047,6405581929,"(0.3146791160106659, 0.49976399540901184)","(-62.5688362121582, 125.95284271240234, 39.98971939086914)",1,5.422821044921875,1,"(-25.924266815185547, 0.989141583442688, 643.3410034179688)","(0.5617679953575134, 0.48239296674728394, 0.4877277910709381)",1,"(0.3418208062648773, 0.4342864453792572)","(-53.001827239990234, 138.15225219726562, 44.42998123168945)",1,5.11602783203125,1,"(32.371116638183594, -3.504333972930908, 639.8360595703125)","(0.4320460259914398, 0.4972936511039734, 0.48132801055908203)",1
467708701,6405598590,"(0.313254714012146, 0.49866411089897156)","(-63.0709114074707, 126.15778350830078, 40.06426239013672)",1,5.32452392578125,1,"(-25.900245666503906, 0.9604637622833252, 643.4195556640625)","(0.5617082118988037, 0.48247888684272766, 0.48788270354270935)",1,"(0.344971626996994, 0.4361167252063751)","(-51.89120864868164, 137.81126403808594, 44.30583953857422)",1,5.0177001953125,1,"(32.389808654785156, -3.54596209526062, 639.9136962890625)","(0.4320138990879059, 0.4974166750907898, 0.4814853370189667)",1
467725356,6405615252,"(0.30910104513168335, 0.501563310623169)","(-64.53499603271484, 125.61759948730469, 39.86767578125)",1,5.28277587890625,1,"(-25.882360458374023, 0.9536826610565186, 643.4612426757812)","(0.5616649389266968, 0.4824996590614319, 0.48796460032463074)",1,"(0.3449879586696625, 0.4381166994571686)","(-51.88545227050781, 137.4386444091797, 44.170223236083984)",1,4.983566284179688,1,"(32.39830780029297, -3.5646703243255615, 639.9550170898438)","(0.4320000112056732, 0.4974718391895294, 0.4815690815448761)",1
467742011,6405631914,"(0.3065101206302643, 0.502293050289154)","(-65.4482650756836, 125.48160552978516, 39.818233489990234)",1,5.1696624755859375,1,"(-25.892494201660156, 0.9634928703308105, 643.3078002929688)","(0.5617009401321411, 0.48246949911117554, 0.4876587986946106)",1,"(0.34755101799964905, 0.44108709692955017)","(-50.982017517089844, 136.8852081298828, 43.96876525878906)",1,4.875457763671875,1,"(32.36213684082031, -3.561248302459717, 639.804443359375)","(0.43206366896629333, 0.4974634051322937, 0.48126453161239624)",1
467758665,6405648533,"(0.31552720069885254, 0.4994564652442932)","(-62.269893646240234, 126.01011657714844, 40.010589599609375)",1,5.134490966796875,1,"(-25.870941162109375, 0.9945757389068604, 642.8466186523438)","(0.5616937279701233, 0.48237550258636475, 0.48673558235168457)",1,"(0.3551441729068756, 0.43782028555870056)","(-48.30556106567383, 137.49388122558594, 44.190277099609375)",1,4.836349487304688,1,"(32.331947326660156, -3.536869764328003, 639.3440551757812)","(0.43207865953445435, 0.4973982274532318, 0.4803415536880493)",1
467775320,6405665139,"(0.39167699217796326, 0.4473970830440521)","(-35.42832565307617, 135.7095489501953, 43.54087448120117)",1,5.035491943359375,1,"(-25.645421981811523, 1.0667191743850708, 644.2244873046875)","(0.5610698461532593, 0.4821759760379791, 0.4894711971282959)",1,"(0.4521857798099518, 0.3756164014339447)","(-14.099970817565918, 149.08338928222656, 48.40856170654297)",1,4.7113189697265625,1,"(32.659698486328125, -3.489131450653076, 640.697509765625)","(0.4314991533756256, 0.49724093079566956, 0.4830777645111084)",1
467791975,6405681740,"(0.4129447937011719, 0.42091649770736694)","(-27.931787490844727, 140.64329528808594, 45.33660888671875)",1,4.9962005615234375,1,"(-25.499746322631836, 1.1277122497558594, 645.8677368164062)","(0.5606021285057068, 0.4820097088813782, 0.49274390935897827)",1,"(0.4725850224494934, 0.35124754905700684)","(-6.909571647644043, 153.6236572265625, 50.06111145019531)",1,4.688018798828125,1,"(32.91471862792969, -3.4436559677124023, 642.324462890625)","(0.43111518025398254, 0.497084379196167, 0.4863528907299042)",1
467808630,6405698384,"(0.4214477241039276, 0.4085559844970703)","(-24.93463134765625, 142.9462432861328, 46.17484664916992)",1,4.906005859375,1,"(-25.623416900634766, 1.0988619327545166, 645.345458984375)","(0.560921847820282, 0.4820883572101593, 0.49170970916748047)",1,"(0.4578234553337097, 0.3478044271469116)","(-12.112786293029785, 154.26516723632812, 50.294559478759766)",1,4.5997161865234375,1,"(32.731422424316406, -3.4736011028289795, 641.8172607421875)","(0.43146610260009766, 0.4971771240234375, 0.48532140254974365)",1
467825284,6405715038,"(0.41994553804397583, 0.397701233625412)","(-25.464128494262695, 144.96865844726562, 46.91093444824219)",1,4.863677978515625,1,"(-25.660404205322266, 1.0305335521697998, 645.1884155273438)","(0.5610187649726868, 0.48228806257247925, 0.4913986921310425)",1,"(0.4566936492919922, 0.3511206805706024)","(-12.511027336120605, 153.6472930908203, 50.069664001464844)",1,4.5462493896484375,1,"(32.66954040527344, -3.545598268508911, 641.6659545898438)","(0.4315882623195648, 0.49739184975624084, 0.4850136637687683)",1
467841939,6405731693,"(0.4166918396949768, 0.38978084921836853)","(-26.611024856567383, 146.44435119628906, 47.44801330566406)",1,4.765777587890625,1,"(-25.680971145629883, 0.9982507824897766, 645.06689453125)","(0.5610755681991577, 0.4823821187019348, 0.4911573529243469)",1,"(0.4576354920864105, 0.34895867109298706)","(-12.179032325744629, 154.05010986328125, 50.21630859375)",1,4.43524169921875,1,"(32.62712860107422, -3.581190347671509, 641.5481567382812)","(0.4316701591014862, 0.497498482465744, 0.48477452993392944)",1
